Symbol,Name,Country,IPO Year,Sector,Industry
ADCT,ADC Therapeutics SA Common Shares,,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States,,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,United States,2003,Technology,Computer Software: Prepackaged Software
ADES,Advanced Emissions Solutions Inc. Common Stock,United States,,Industrials,Major Chemicals
ADI,Analog Devices Inc. Common Stock,United States,,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,United States,,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,Miscellaneous,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,United States,2016,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,Miscellaneous,Industrial Machinery/Components
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCR,Edoc Acquisition Corp. Right,United States,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,Automatic Data Processing Inc. Common Stock,United States,,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRT,Ault Disruptive Technologies Corporation Common Stock,,2022,Finance,Blank Checks
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland,,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,2018,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,United States,2021,Consumer Discretionary,Advertising
ADTHW,AdTheorent Holding Company Inc. Warrants,United States,2021,Consumer Discretionary,Advertising
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,Consumer Discretionary,Business Services
ADX,Adams Diversified Equity Fund Inc.,United States,,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,United States,1980,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,United States,2021,Finance,Blank Checks
AEE,Ameren Corporation Common Stock,United States,,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,United States,,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States,2019,,
AEG,Aegon Ltd. New York Registry Shares,Netherlands,,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,China,,Industrials,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,1997,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),United States,2020,Real Estate,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,Technology,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company Common Stock,United States,2003,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States,,,
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States,,,
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,,
AEMD,Aethlon Medical Inc. Common Stock,United States,,Miscellaneous,Diversified Commercial Services
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States,,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,United States,,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,United States,,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,United States,,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,Consumer Discretionary,Diversified Commercial Services
AERT,Aeries Technology Inc. Class A Ordinary Share,United States,2021,Basic Materials,Forest Products
AES,The AES Corporation Common Stock,United States,,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,United States,,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,United States,2023,Industrials,Metal Fabrications
AEVA,Aeva Technologies Inc. Common Stock,United States,2020,Consumer Discretionary,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Group Inc. Common Stock,United States,,Industrials,Office Equipment/Supplies/Services
AEYE,AudioEye Inc. Common Stock,United States,,Technology,Computer Software: Prepackaged Software
AEZS,Aeterna Zentaris Inc. Common Stock,Canada,,Health Care,Biotechnology: Pharmaceutical Preparations
AFARU,Aura FAT Projects Acquisition Corp Unit,Singapore,2022,Finance,Blank Checks
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,Finance,Major Banks
AFCG,AFC Gamma Inc. Common Stock,United States,2021,Real Estate,Real Estate Investment Trusts
AFG,American Financial Group Inc. Common Stock,United States,,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,Finance,Property-Casualty Insurers
AFIB,Acutus Medical Inc. Common Stock,United States,2020,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFJKU,Aimei Health Technology Co. Ltd Unit,United States,2023,,
AFL,AFLAC Incorporated Common Stock,United States,,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Germany,2014,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar,,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,Gibraltar,,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,Consumer Discretionary,Business Services
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,,2011,Finance,Investment Managers
AFYA,Afya Limited Class A Common Shares,Brazil,2019,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,Basic Materials,Precious Metals
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States,2017,Telecommunications,Cable & Other Pay Television Services
AGBA,AGBA Group Holding Limited Ordinary Share,Hong Kong,2019,Finance,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,Hong Kong,2019,Finance,Investment Managers
AGCO,AGCO Corporation Common Stock,United States,,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,2006,Finance,Trusts Except Educational Religious and Charitable
AGE,AgeX Therapeutics Inc. Common Stock,,2018,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenus Inc. Common Stock,United States,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,United States,2021,Consumer Discretionary,Military/Government/Technical
AGI,Alamos Gold Inc. Class A Common Shares,Canada,2015,,
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,United States,2021,Health Care,Managed Health Care
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States,,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States,,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,2018,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,2008,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,,Real Estate,Real Estate Investment Trusts
